pmid,model,coef,hr,pvalue,qvalue_global
35027921,m1_plus_tumor,0.29770172900671055,1.3467600285145227,0.2596524993103409,0.4797274814047869
35027921,m1_plus_normal,0.28105954130038535,1.3245324659728865,0.293278271841529,0.5100742812344891
35027921,m1_plus_both,0.27997637986409796,1.3230985602005447,0.29534379643139014,0.5114178293184245
35125116,m1_clinical,0.9199603077376526,2.5091907925004713,0.0016607761376530661,0.01795433662327639
35125116,m1_plus_tumor,0.9849853820013238,2.677772740456572,0.0019019143963995224,0.019506814322046383
35125116,m1_plus_normal,0.909707233428918,2.483595313253322,0.0025971719376869412,0.024443971178230037
35125116,m1_plus_both,0.9754869086010545,2.652458401420823,0.002866817026881628,0.02575939918068157
35127296,m1_clinical,0.3660565091190959,1.4420367285773814,0.1685506277838975,0.38895716549435616
35127296,m1_plus_tumor,0.3432467012801873,1.409516448549622,0.21160343175128768,0.43629573556966533
35127296,m1_plus_normal,0.32746906958731437,1.387452136167131,0.23301250006612784,0.4547900828015726
35127296,m1_plus_both,0.3059984732372575,1.3579802332326847,0.277251560717623,0.4995523616533748
35169299,m1_clinical,-0.718023634342198,0.4877152076614026,0.0024664517337163803,0.023490016511584576
35169299,m1_plus_tumor,-0.8393575997875409,0.431987943458854,0.0010294725291147006,0.013283516504705816
35169299,m1_plus_normal,-0.7353012881282637,0.4793610114339246,0.0039002722826895534,0.03183895740971064
35169299,m1_plus_both,-0.8822883419608639,0.41383483171943,0.0013164425716809217,0.015693843991955343
35205125,m1_clinical,0.17897761645841678,1.1959939732874367,0.23640904187252626,0.4601635851533358
35205125,m1_plus_tumor,0.18399098159921037,1.2020049828847341,0.2272073197453316,0.45215387013996344
35205125,m1_plus_normal,0.15579093719287815,1.1685818705441273,0.4673852049864985,0.6761449620057844
35205125,m1_plus_both,0.1763023192216238,1.1927986100944652,0.41433167166744567,0.6325674376602224
35265613,m1_clinical,-0.6270732533897149,0.5341528455317401,0.0487854097389463,0.18237536351007963
35265613,m1_plus_tumor,-0.730849274258907,0.48149989093306383,0.026297972796860927,0.12160912276005054
35265613,m1_plus_normal,-0.5902145036236077,0.5542083922751544,0.06562727187859264,0.21875757292864215
35265613,m1_plus_both,-0.6958357248223094,0.49865753331800816,0.03699738836017817,0.15178415737508993
35281080,m1_clinical,-0.38837527498708035,0.6781577998456269,0.21091769460477403,0.43629573556966533
35281080,m1_plus_tumor,-0.569609386185558,0.5657463838976255,0.09129084081648356,0.26677358961184333
35281080,m1_plus_normal,-0.3427381977923052,0.7098240207322242,0.279131189585328,0.5006837481351175
35281080,m1_plus_both,-0.5254879689506723,0.5912667741336635,0.1329952210853153,0.3350381806470252
35299749,m1_clinical,-1.168275447138157,0.3109026472561461,6.989717843587576e-07,6.213082527633401e-05
35299749,m1_plus_tumor,-1.217504001287695,0.29596798144949366,3.6564367301414145e-07,4.990702865071853e-05
35299749,m1_plus_normal,-1.162534289866681,0.3126927218832749,9.204069113686105e-07,6.693868446317168e-05
35299749,m1_plus_both,-1.2150923281784565,0.29668262086350794,4.600963494573532e-07,4.990702865071853e-05
35300137,m1_clinical,0.17347670239756638,1.189432975510222,0.4154970974816776,0.6331384342577945
35300137,m1_plus_tumor,0.14344902749303598,1.1542479743946876,0.5191780882127945,0.7210806780733258
35300137,m1_plus_normal,0.10540578144064733,1.1111614075637022,0.6565214848732357,0.8206518560915446
35300137,m1_plus_both,0.07082573325482874,1.0733941526632411,0.7738870984126153,0.9031791752702345
35309900,m1_clinical,0.11299347096320181,1.1196246228543594,0.5794283286641438,0.7615036352285459
35309900,m1_plus_tumor,0.09556259827797507,1.100277695367261,0.644573808362777,0.8095118472373966
35309900,m1_plus_normal,0.0093795921853916,1.0094237184142814,0.9690005445880953,0.985006906823985
35309900,m1_plus_both,-0.007090333353021834,0.992934743757147,0.9768016320116159,0.9885002678711732
35480865,m1_clinical,0.05053438752465558,1.0518330326674576,0.8455237183938226,0.9311514058664638
35480865,m1_plus_tumor,0.06460954935895143,1.0667424327935404,0.8051998072708851,0.9194269540738111
35480865,m1_plus_normal,0.05986113676650224,1.0616891067262821,0.8179678496009937,0.9268757502560835
35480865,m1_plus_both,0.07501365452346599,1.0778988689795475,0.7755099103275626,0.9031791752702345
35593896,m1_clinical,0.13879755264421484,1.1488914864148878,0.41364655594108735,0.6325674376602224
35593896,m1_plus_tumor,0.11243976756775229,1.1190048544988118,0.5380429447947456,0.7332782893284437
35593896,m1_plus_normal,0.07253425915073854,1.0752296419135503,0.7217082853317951,0.8708395599780333
