"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Fibroblast"
"TCGA-C4-A0EZ-01A-21R-A24X-07",0,0,0,0,0.0599510940096189,0.0284385385885415,0.659067513618441,0.0674333529105751,0.185109500872823
"TCGA-C4-A0F0-01A-12R-A10U-07",0,0.0297222795947008,0,0,0,0.0374730703878162,0.6599921514678,0.0143625493743103,0.258449949175373
"TCGA-C4-A0F1-01A-11R-A034-07",0,0,0.168223785285362,0,0,0.150289663893991,0.295422845515454,0,0.386063705305192
"TCGA-C4-A0F6-01A-11R-A10U-07",0.166329985514589,0.0193484079318051,0.431752596313734,0,0.000165311119552035,0.0208446741756057,0.0275208391548534,0.115099192741785,0.218938993048076
"TCGA-C4-A0F7-01A-11R-A084-07",0,0,0.295940458873704,0,0,0.139390177762903,0.220956689583902,0.0402942111171664,0.303418462662324
"TCGA-CF-A1HR-01A-11R-A13Y-07",0.569554174476912,0.114064180059413,0,0,0,0.0246867374158421,0,0.103778396415517,0.187916511632315
"TCGA-CF-A1HS-01A-11R-A13Y-07",0.0103139286626952,0.0402641078634671,0.16769942601655,0,0,0.374427164092207,0.194592437396651,0.000401752185699038,0.212301183782729
"TCGA-CF-A27C-01A-11R-A16R-07",0,0,0.907907552160436,0,0,0.0502727351264486,0.0230278345403632,0.0125203870597228,0.0062714911130295
"TCGA-CF-A3MF-01A-12R-A21D-07",0.495828886911111,0,0.403843264809493,0,0,0.00275249665883658,0,0.085493702389508,0.0120816492310519
"TCGA-CF-A3MG-01A-11R-A20F-07",0.740797419175744,0,0.13561858666913,0,0,0.0507260716773493,0,0.0214586574844341,0.0513992649933428
"TCGA-CF-A3MH-01A-11R-A20F-07",0.290604973047754,0,0.556128878461401,0,0,0.0550008723128837,0.0255542094595627,0.0394549271622444,0.0332561395561545
"TCGA-CF-A3MI-01A-11R-A20F-07",0.276650887028985,0,0.595122187308016,0.0057578347591352,0,0.0454202503693004,0,0.021288612130102,0.0557602284044618
"TCGA-CF-A47S-01A-11R-A23W-07",0.351168069747134,0,0.512086127793371,0,0,0.0690722801011409,0,0,0.0676735223583542
"TCGA-CF-A47T-01A-11R-A23W-07",0,0,0.946393079740124,0,0,0,0.00428159034405879,0.0374625377883511,0.0118627921274662
"TCGA-CF-A47V-01A-11R-A23W-07",0.0854937767613539,0,0.60000804401689,0,0,0.218057063095001,0,0.0456772216822805,0.0507638944444749
"TCGA-CF-A47W-01A-11R-A23W-07",0.0130896865887627,0,0.889541205279742,0,0,8.44876464623641e-05,0.0561276512850125,0.0330045588317246,0.00815241036829619
"TCGA-CF-A47X-01A-31R-A23W-07",0.156555430128832,0,0.675438816444351,0,0,0.150890695579926,0,0.00063228976475142,0.0164827680821399
"TCGA-CF-A47Y-01A-11R-A23W-07",0,0,0.859335194909108,0,0,0.110387949996709,0,0.0100994056407182,0.0201774494534645
"TCGA-CF-A5U8-01A-11R-A28M-07",0.14527792119872,0,0.7865462070611,0,0,0.0283357903730723,0,0.0183565736797931,0.0214835076873147
"TCGA-CF-A5UA-01A-11R-A28M-07",0.143861482637383,0,0.583455471122464,0,0,0.0345616840192593,0.177317360852177,0.0204581993993249,0.0403458019693909
"TCGA-CF-A7I0-01A-22R-A352-07",0.0879353700162236,0,0.561003994328595,0,0,0.135570303995437,0,0.0468238632063727,0.168666468453372
"TCGA-CF-A8HX-01A-11R-A36F-07",0,0,0.869212801095825,0.00119259626477132,0,0.0546380088500927,0,0.0262405438139638,0.0487160499753469
"TCGA-CF-A8HY-01A-11R-A36F-07",0,0,0.81047707492459,0,0,0.00709257268720294,0.122905875367275,0,0.059524477020932
